========== FOREX ARBITRAGE DETECTOR (OPENMP) ==========

Threads: 8 (max available 8)
Currencies: AUD CAD EUR GBP JPY SGD USD
Pairs: 19

Loaded 86400 aligned timestamps across 19 pairs.

====== SINGLE TIMESTAMP ANALYSIS ======
t0 currencies=7 edges=38
No arbitrage at first timestamp.

====== TIME SERIES ANALYSIS ======

===== ARBITRAGE OPPORTUNITIES (680) =====
ts=83950000 profit=0.007783%  cycle=SGD->USD->CAD->JPY->SGD
ts=83951000 profit=0.007783%  cycle=SGD->USD->CAD->JPY->SGD
ts=83952000 profit=0.007783%  cycle=SGD->USD->CAD->JPY->SGD
ts=83953000 profit=0.008498%  cycle=SGD->USD->CAD->JPY->SGD
ts=83954000 profit=0.006344%  cycle=SGD->USD->CAD->JPY->SGD
ts=83955000 profit=0.007036%  cycle=USD->CAD->JPY->SGD->USD
ts=83956000 profit=0.001119%  cycle=JPY->SGD->USD->JPY
ts=83957000 profit=0.001119%  cycle=JPY->SGD->USD->JPY
ts=83958000 profit=0.002834%  cycle=JPY->SGD->USD->CAD->JPY
ts=83959000 profit=0.001883%  cycle=JPY->SGD->USD->CAD->JPY
ts=83960000 profit=0.001477%  cycle=USD->JPY->SGD->USD
ts=83961000 profit=0.006036%  cycle=JPY->SGD->USD->CAD->JPY
ts=83962000 profit=0.006036%  cycle=JPY->SGD->USD->CAD->JPY
ts=83963000 profit=0.006036%  cycle=JPY->SGD->USD->CAD->JPY
ts=83964000 profit=0.001477%  cycle=USD->JPY->SGD->USD
ts=83965000 profit=0.005784%  cycle=JPY->SGD->USD->CAD->JPY
ts=83966000 profit=0.006483%  cycle=JPY->SGD->USD->CAD->JPY
ts=83967000 profit=0.006483%  cycle=JPY->SGD->USD->CAD->JPY
ts=83968000 profit=0.008385%  cycle=JPY->SGD->USD->CAD->JPY
ts=83969000 profit=0.006987%  cycle=JPY->SGD->USD->CAD->JPY
ts=83970000 profit=0.006036%  cycle=JPY->SGD->USD->CAD->JPY
ts=83971000 profit=0.005085%  cycle=JPY->SGD->USD->CAD->JPY
ts=83972000 profit=0.005085%  cycle=JPY->SGD->USD->CAD->JPY
ts=83973000 profit=0.005085%  cycle=JPY->SGD->USD->CAD->JPY
ts=83974000 profit=0.005784%  cycle=JPY->SGD->USD->CAD->JPY
ts=83975000 profit=0.002369%  cycle=USD->JPY->SGD->USD
ts=83976000 profit=0.005977%  cycle=JPY->SGD->USD->CAD->JPY
ts=83977000 profit=0.003500%  cycle=JPY->SGD->USD->CAD->JPY
ts=83978000 profit=0.004200%  cycle=JPY->SGD->USD->CAD->JPY
ts=83979000 profit=0.000520%  cycle=JPY->SGD->USD->JPY
ts=83980000 profit=0.000520%  cycle=JPY->SGD->USD->JPY
ts=83981000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83982000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83983000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83984000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83985000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83986000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83987000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83988000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83989000 profit=0.005480%  cycle=JPY->SGD->USD->CAD->JPY
ts=83990000 profit=0.006972%  cycle=JPY->SGD->USD->CAD->JPY
ts=83991000 profit=0.000551%  cycle=JPY->SGD->USD->JPY
ts=83992000 profit=0.002616%  cycle=USD->CAD->JPY->SGD->USD
ts=83993000 profit=0.002616%  cycle=USD->CAD->JPY->SGD->USD
ts=83994000 profit=0.001724%  cycle=USD->CAD->JPY->SGD->USD
ts=83995000 profit=0.001724%  cycle=USD->CAD->JPY->SGD->USD
ts=83996000 profit=0.001724%  cycle=USD->CAD->JPY->SGD->USD
ts=83997000 profit=0.001724%  cycle=USD->CAD->JPY->SGD->USD
ts=83998000 profit=0.001724%  cycle=USD->CAD->JPY->SGD->USD
ts=83999000 profit=0.001724%  cycle=USD->CAD->JPY->SGD->USD
ts=84000000 profit=0.004736%  cycle=USD->CAD->JPY->SGD->USD
ts=84001000 profit=0.004736%  cycle=USD->CAD->JPY->SGD->USD
ts=84002000 profit=0.000276%  cycle=USD->CAD->JPY->SGD->USD
ts=84003000 profit=0.002178%  cycle=USD->CAD->JPY->SGD->USD
ts=84004000 profit=0.004168%  cycle=USD->CAD->JPY->SGD->USD
ts=84005000 profit=0.003276%  cycle=USD->CAD->JPY->SGD->USD
ts=84006000 profit=0.003276%  cycle=USD->CAD->JPY->SGD->USD
ts=84007000 profit=0.004109%  cycle=JPY->SGD->USD->CAD->JPY
ts=84008000 profit=0.004109%  cycle=JPY->SGD->USD->CAD->JPY
ts=84009000 profit=0.004109%  cycle=JPY->SGD->USD->CAD->JPY
ts=84010000 profit=0.004109%  cycle=JPY->SGD->USD->CAD->JPY
ts=84011000 profit=0.004109%  cycle=JPY->SGD->USD->CAD->JPY
ts=84012000 profit=0.004808%  cycle=JPY->SGD->USD->CAD->JPY
ts=84013000 profit=0.004808%  cycle=JPY->SGD->USD->CAD->JPY
ts=84014000 profit=0.004808%  cycle=JPY->SGD->USD->CAD->JPY
ts=84015000 profit=0.004808%  cycle=JPY->SGD->USD->CAD->JPY
ts=84016000 profit=0.004808%  cycle=SGD->USD->CAD->JPY->SGD
ts=84017000 profit=0.001867%  cycle=USD->CAD->JPY->SGD->USD
ts=84018000 profit=0.001404%  cycle=USD->CAD->JPY->SGD->USD
ts=84019000 profit=0.002296%  cycle=SGD->USD->CAD->JPY->SGD
ts=84020000 profit=0.001311%  cycle=CAD->JPY->SGD->USD->CAD
ts=84021000 profit=0.001530%  cycle=JPY->USD->CAD->JPY
ts=84022000 profit=0.001257%  cycle=USD->CAD->JPY->SGD->USD
ts=84023000 profit=0.001257%  cycle=USD->CAD->JPY->SGD->USD
ts=84024000 profit=0.001257%  cycle=USD->CAD->JPY->SGD->USD
ts=84025000 profit=0.001956%  cycle=USD->CAD->JPY->SGD->USD
ts=84026000 profit=0.001956%  cycle=USD->CAD->JPY->SGD->USD
ts=84027000 profit=0.001956%  cycle=USD->CAD->JPY->SGD->USD
ts=84028000 profit=0.001956%  cycle=USD->CAD->JPY->SGD->USD
ts=84029000 profit=0.001956%  cycle=USD->CAD->JPY->SGD->USD
ts=84030000 profit=0.001956%  cycle=USD->CAD->JPY->SGD->USD
ts=84031000 profit=0.002702%  cycle=USD->CAD->JPY->SGD->USD
ts=84032000 profit=0.005378%  cycle=USD->CAD->JPY->SGD->USD
ts=84033000 profit=0.004486%  cycle=USD->CAD->JPY->SGD->USD
ts=84034000 profit=0.004486%  cycle=USD->CAD->JPY->SGD->USD
ts=84035000 profit=0.002702%  cycle=USD->CAD->JPY->SGD->USD
ts=84036000 profit=0.002702%  cycle=USD->CAD->JPY->SGD->USD
ts=84037000 profit=0.004100%  cycle=USD->CAD->JPY->SGD->USD
ts=84038000 profit=0.004100%  cycle=USD->CAD->JPY->SGD->USD
